table_id,sentence_id,sub_sentence_id,text,coordinates,input_text,aggregation,output_text
2316,12440,1,"in 1996 transport truck drivers aged 25 to 34 for each transport truck driver aged 55 and over transport truck drivers (4, 4)","[[0, 1], [1, 4], [4, 0], [4, 4]]",1996.0 ratio of younger workers to older workers transport truck drivers 2.49,none,"in 1996, there were 2.5 transport truck drivers aged 25 to 34 for each transport truck driver aged 55 and over"
2316,12440,1(1),"in 2006 transport truck drivers aged 25 to 34 for each transport truck driver aged 55 and over transport truck drivers (4, 8)","[[0, 5], [1, 8], [4, 0], [4, 8]]",2016.0 ratio of younger workers to older workers transport truck drivers 0.57,none,"in 2016, there were 0.6 transport truck drivers aged 25 to 34 for each transport truck driver aged 55 and over"
2316,12441,1,"aged 55 and over in 2016 janitors,caretakers and building superintendents (6, 6)","[[1, 6], [0, 5], [6, 0], [6, 6]]","proportion of workers aged 55 and over 2016.0 janitors, caretakers and building superintendents 36.9",none,"among men, 37% of janitors, caretakers and building superintendents were aged 55 and over in 2016"
2316,12441,1(1),"aged 55 and over in 1996 janitors,caretakers and building superintendents (6, 2)","[[1, 2], [0, 1], [6, 0], [6, 2]]","proportion of workers aged 55 and over 1996.0 janitors, caretakers and building superintendents 19.6",none,"among men, 20% of janitors, caretakers and building superintendents were aged 55 and over in 1996"
2316,12442,1,"aged 55 and over in 2016 cooks (11, 6)","[[1, 6], [0, 5], [11, 0], [11, 6]]",proportion of workers aged 55 and over 2016.0 cooks 10.2,none,the share of male cooks aged 55 and over was at 10% in 2016
2316,12442,1(1),"the ratio of younger cooks to older cooks in 2016 cooks (11, 8)","[[1, 8], [0, 5], [11, 0], [11, 8]]",ratio of younger workers to older workers 2016.0 cooks 2.38,none,the ratio of younger cooks to older cooks in 2016 was 2.4
2317,12443,1,"aged 55 and over in 2016 female managers in agriculture (7, 6)","[[1, 6], [0, 5], [7, 0], [7, 6]]",proportion of workers aged 55 and over 2016.0 managers in agriculture 52.1,none,"specifically, over half of female managers in agriculture (52%) were aged 55 and over in 2016"
2317,12443,1(1),"aged 55 and over in 1996 female managers in agriculture (7, 2)","[[1, 2], [0, 1], [7, 0], [7, 2]]",proportion of workers aged 55 and over 1996.0 managers in agriculture 36.5,none,37% of female managers in agriculture were aged 55 and over in 1996
2317,12444,1,"share of workers aged 55 and over in 2016 women empolyed as advertising, marketing and public relations managers (8, 6)","[[1, 6], [0, 5], [8, 0], [8, 6]]","proportion of workers aged 55 and over 2016.0 advertising, marketing and public relations managers 10.0",none,"among women employed as advertising, marketing and public relations managers, a smaller share of workers was aged 55 and over, at 10% in 2016"
2317,12444,1(1),"aged 55 and over in 1996 women empolyed as advertising, marketing and public relations managers (8, 2)","[[1, 2], [0, 1], [8, 0], [8, 2]]","proportion of workers aged 55 and over 1996.0 advertising, marketing and public relations managers 4.6",none,"among women employed as advertising, marketing and public relations managers, a smaller share of workers was aged 55 and over, at 5% in 1996"
2319,12446,1,"the number of workers were increased between 1996 and 2016 professional occupations in advertising, marketing and public relations (6, 3)","[[0, 3], [6, 0], [6, 3]]","percent change in number of workers professional occupations in advertising, marketing and public relations 256.0",none,"the number of workers were increased 256% in professional occupations in advertising, marketing and public relations between 1996 and 2016"
2319,12446,1(1),"the number of workers were increased between 1996 and 2016 computer and information systems managers (7, 3)","[[0, 3], [7, 0], [7, 3]]",percent change in number of workers computer and information systems managers 209.0,none,the number of computer and information systems managers were increased 209% between 1996 and 2016
2319,12446,1(2),"the number of workers were increased between 1996 and 2016 inspectors in public and environmental health and occupational health and safety (8, 3)","[[0, 3], [8, 0], [8, 3]]",percent change in number of workers inspectors in public and environmental health and occupational health and safety 207.0,none,the number of inspectors in public and environmental health and occupational health and safetys were increased 207% between 1996 and 2016
2319,12447,1,"the share of older workers in 1996 professional occupations in advertising, martketing and public relations (6, 4)","[[0, 4], [1, 4], [6, 0], [6, 4]]","proportion of workers aged 55 and over 1996.0 professional occupations in advertising, marketing and public relations 7.9",none,"for example, the share of older workers in professional occupations in advertising, marketing and public relations was 8% in 1996"
2319,12447,1(1),"the share of older workers in 2016 in professional occupations in advertising, marketing and public relations (6, 5)","[[0, 4], [1, 5], [6, 0], [6, 5]]","proportion of workers aged 55 and over 2016.0 professional occupations in advertising, marketing and public relations 12.7",none,"the share of older workers in professional occupations in advertising, marketing and public relations was 13% in 2016"
231_totto26462-2,0,1,"(14, 2)","[[14, 2]]",221.0,none,australia was thus bowled out for 221
231_totto26484-3,0,1,"2017-18 hamburger sv (18, 2)","[[21, 1], [18, 0], [18, 2]]",2017-18 hamburger sv bundesliga,none,"in the 2017-18 season, muller transfered from hamburger sv of bundesliga"
2321,12451,1,"workers in 2016 registered nurses and registered psychiatric (11, 3)","[[1, 3], [0, 3], [11, 0], [11, 3]]",workers 2016.0 registered nurses and registered psychiatric nurses 286200.0,none,more than 28600 workers are registered nurses and registered psychiatric nurses in 2016
2321,12452,1,"workers in 2016 nurse aides, orderlies and patient service associates (8, 3)","[[1, 3], [0, 3], [8, 0], [8, 3]]","workers 2016.0 nurse aides, orderlies and patient service associates 245500.0",none,"245500 workers are nurse aides, orderlies and patient service associates in 2016"
2322,12454,1,"urban core estimate pm2.5 exposure (3, 8)","[[1, 8], [2, 8], [0, 6], [3, 8]]",urban core mean pm2.5 exposure 8.03,none,the urban core estimate pm2.5 exposure was 8.03 μg/m3
2322,12454,1(1),"mean urban fringe pm2.5 exposure (3, 10)","[[2, 10], [0, 6], [3, 10]]",mean pm2.5 exposure 5.62,none,mean urban fringe pm2.5 exposure was 5.62 μg/m3
2322,12454,1(2),"rural estimate pm2.5 exposure (3, 12)","[[2, 12], [0, 6], [3, 12]]",mean pm2.5 exposure 4.32,none,rural estimate pm2.5 exposure was 4.32 (2.77) μg/m3
2322,12455,1,"total mean exposure to pm2.5 visible minorities white population (11, 6) (13, 6)","[[1, 6], [2, 6], [13, 0], [11, 0], [11, 6], [13, 6]]",total mean visible minority white 6.84 8.45,none,"nationally, mean exposure of total visible minorities to pm2.5 was 1.61 μg/m3 higher than that of the white population"
2322,12456,1,"lived in urban cores visible minority population (13, 3)","[[2, 3], [13, 0], [13, 3]]",urban core visible minority 96.0,none,"however, almost all (96%) the visible minority population lived in urban cores"
2322,12456,1(1),"lived in urban cores white population (11, 3)","[[2, 3], [11, 0], [11, 3]]",urban core white 65.9,none,66% of the white population lived in urban cores
2322,12457,1,"urban cores mean pm2.5 exposure visible minority population white population (13, 8) (11, 8)","[[1, 8], [2, 8], [13, 0], [11, 0], [13, 8], [11, 8]]",urban core mean visible minority white 8.58 7.89,diff,"when only urban cores were considered, the difference between the mean pm2.5 exposure of visible minority population and that of white population was reduced to 0.69 μg/m3"
2322,12457,1(1),mean pm2.5 exposures in urban cores all visible minority or aboriginal status [ANSWER],"[[2, 8], [10, 0], [18, 0], [16, 0], [19, 0]]",mean visible minority or aboriginal status latin american black arab,topk-argmax,"among all visible minority or aboriginal status, the highest mean pm2.5 exposures in urban cores were among latin american (8.95 μg/m3), black (8.89 μg/m3) and arab (8.87 μg/m3) residents"
2322,12458,1,"mean pm2.5 exposure total aboriginal people white persons (11, 6) (12, 6)","[[2, 6], [1, 6], [12, 0], [11, 0], [11, 6], [12, 6]]",mean total aboriginal white 6.84 5.29,diff,the mean pm2.5 exposure among total aboriginal people was 1.55 μg/m3 lower than that for white persons
2322,12458,1(1),"total mean pm2.5 exposure immigrants non-immigrants (24, 6) (25, 6)","[[1, 6], [2, 6], [25, 0], [24, 0], [24, 6], [25, 6]]",total mean immigrant not immigrant 6.73 8.28,diff,the total mean immigrants' pm2.5 exposure was 1.55 μg/m3 greater than that of non-immigrants
2322,12459,1,"urban core residents mean pm2.5 exposure immigrants non-immigrants (24, 8) (25, 8)","[[1, 8], [2, 8], [25, 0], [24, 0], [24, 8], [25, 8]]",urban core mean immigrant not immigrant 7.81 8.63,diff,"among urban core residents, the difference in mean pm2.5 exposure between immigrants and non-immigrants was 0.82 μg/m3"
2322,12460,1,urban cores mean pm2.5 exposure lower-income households higher-income households [ANSWER],"[[1, 8], [2, 8], [41, 0], [42, 0], [41, 0]]",urban core mean low income not low income low income,pair-argmax,"in urban cores, mean pm2.5 exposure was greater (0.56 μg/m3; p < 0.001; d = 0.11) for people in lower- versus higher-income households"
2322,12460,1(1),rural areas mean pm2.5 exposure lower-income households higher-income households [ANSWER],"[[1, 12], [2, 12], [41, 0], [42, 0], [41, 0]]",rural mean low income not low income low income,pair-argmin,"in rural areas, mean pm2.5 exposure was less (0.56 μg/m3; p < 0.001; d = 0.11) for people in lower- versus higher-income households"
2322,12461,1,"pm2.5 exposure total visible minority individuals in low-income households (46, 6)","[[2, 6], [1, 6], [46, 0], [46, 6]]",mean total visible minority - low income 8.86,none,"nationally,total visible minority individuals in low-income households had the highest mean pm2.5 exposure: 8.86 μg/m3"
2322,12461,1(1),"mean pm2.5 exposure total visible minority individuals in low-income households white people who did not live in low-income households (45, 6) (46, 6)","[[2, 6], [1, 6], [46, 0], [45, 0], [45, 6], [46, 6]]",mean total visible minority - low income white - not low income 6.78 8.86,diff,the mean pm2.5 exposure of the total visible minority individuals in low-income households was 2.08 μg/m3 greater than that of white people who did not live in low-income households
2323,12462,1,mean toronto urban core pm 2.5 mean for urban cores outside toronto [ANSWER],"[[2, 7], [2, 9], [1, 7]]",mean mean toronto,pair-argmax,mean toronto urban core pm2.5 exposure (9.33 μg/m3) surpassed the mean for urban cores outside toronto
2323,12463,1,"urban core residents lived in toronto members of visible minorities (7, 3)","[[0, 1], [2, 3], [7, 0], [7, 3]]",urban core population distribution toronto visible minority 43.3,none,"among urban core residents, 43% who were members of visible minorities lived in toronto"
2323,12463,1(1),"urban core residents lived in toronto those who were white (5, 3)","[[0, 1], [2, 3], [5, 0], [5, 3]]",urban core population distribution toronto white 14.9,none,"among urban core residents, 15% of those who were white lived in toronto"
2323,12464,1,"urban core lived in toronto non-immigrants (18, 3)","[[0, 1], [2, 3], [18, 0], [18, 3]]",urban core population distribution toronto not immigrant 14.3,none,14% of urban core non-immigrants lived in toronto
2326,12495,1,"women the personnote behind the most serious behaviour was a man (14, 1)","[[0, 1], [14, 0], [14, 1]]",women male 93.0,none,the vast majority (93%) of women who experienced unwanted sexual behaviour indicated that the personnote behind the most serious behaviour was a man
2326,12496,1,"men who had experienced unwanted sexual behaviour in a public place the perpetrator as a man (14, 4)","[[0, 4], [14, 0], [14, 4]]",men male 56.0,none,men who had experienced unwanted sexual behaviour in a public space also most often identified the perpetrator as a man
2326,12498,1,"men women [ANSWER] a friend, acquaintance or neighbour as the perpetrator","[[0, 4], [0, 1], [0, 4], [19, 0]]","men women men friend, neighbour or acquaintance",pair-argmax,"in contrast, men identified a friend, acquaintance or neighbour as the perpetrator of the most serious incident they experienced more often than women"
2326,12499,1,"women who had experienced at least one unwanted sexual behaviour in a public space a stranger (21, 1)","[[0, 1], [21, 0], [21, 1]]",women stranger or person known by sight only 70.0,none,seven out of ten (70%) women who had experienced at least one unwanted sexual behaviour in a public space indicated that the person who initiated the most serious incident was a stranger
2326,12500,1,"men a stranger (21, 4)","[[0, 4], [21, 0], [21, 4]]",men stranger or person known by sight only 46.0,none,"men, too, were often targeted by a stranger, but in a much smaller proportion-less than half"
2327,12501,1,total respondents behaviours [ANSWER],"[[0, 7], [10, 0], [11, 0], [15, 0]]",total unwanted behaviours online threatening or aggressive emails or messages directed at you personally being sent unwanted sexually suggestive or explicit images or messages,topk-argmax,"the most common behaviours online cited by total respondents were receiving threatening or aggressive emails or messages directed at them (13%), as well as receiving unwanted sexually suggestive or explicit images or messages"
2327,12502,1,"total respondents unwanted behavious online (13, 7)","[[0, 7], [10, 0], [13, 7]]",total unwanted behaviours online 2.0,none,only 2% of total respondents reported that their unwanted behaviours online was someone had published or threatened to publish intimate or sexually explicit images without their consent
2327,12503,1,"women unwanted behaviours online (16, 1)","[[0, 1], [16, 0], [16, 1]]",women experienced unwanted behaviour online 24.0,none,nearly one-quarter(24%) of women were targets of at least one of the unwanted behaviours online measured by the sspps
2327,12503,1(1),"men unwanted behaviours online (16, 4)","[[0, 4], [16, 0], [16, 4]]",men experienced unwanted behaviour online 16.0,none,one in six of men (16%) were targets of at least one of the unwanted behaviours online measured by the sspps
2327,12504,1,"women targeted with at least one inappropriate sexual behaviour in the workplace (25, 1)","[[0, 1], [25, 0], [25, 1]]",women experienced inappropriate sexual behaviour in the workplace 31.0,none,"overall, nearly one-third (31%) of women who were currently employed or had been employed at any time during the last year were directly targeted with at least one inappropriate sexual behaviour in the workplace"
2327,12505,1,"men inappropriate sexual behaviour in the workplace (25, 4)","[[0, 4], [25, 0], [25, 4]]",men experienced inappropriate sexual behaviour in the workplace 16.0,none,16% of men reported that they were directly targeted with inappropriate sexual behaviour in the workplace
2327,12506,1,"women unwanted sexual attention, such as whistles, calls, suggestive looks, gestures or body language (19, 1)","[[0, 1], [19, 0], [19, 1]]","women unwanted sexual attention, such as whistles, calls, suggestive looks, gestures or body language 17.0",none,"about one in six women (17%) reported being subjected to unwanted sexual attention, such as whistles, calls, suggestive looks, gestures or body language"
2327,12506,1(1),"men unwanted sexual attention, such as whistles, calls, suggestive looks, gestures or body language (19, 4)","[[0, 4], [19, 0], [19, 4]]","men unwanted sexual attention, such as whistles, calls, suggestive looks, gestures or body language 2.0",none,"one in fifty men (2%) reported being subjected to unwanted sexual attention, such as whistles, calls, suggestive looks, gestures or body language"
2328,12507,1,"women a single person was behind the unwanted behavior online (4, 1)","[[0, 1], [4, 0], [4, 1]]",women one 71.0,none,about 71% of total women indicated that a single person was behind the unwanted behavior online
2328,12507,1(1),"men a single person was behind the unwanted behavior online (4, 4)","[[0, 4], [4, 0], [4, 4]]",men one 59.0,none,about 59% of men indicated that a single person was behind the unwanted behavior online
2328,12508,1,"men and women could not say how many people were responsible for the most serious incident (6, 1) (6, 4)","[[0, 1], [0, 4], [6, 0], [6, 1], [6, 4]]",women men do not know 13.0 13.0,none,"given that perpetrators of unwanted behaviours online benefit from a certain amount of anonymity, 13% of both men and women who had experienced at least one unwanted behaviour online could not say how many people were responsible for the most serious incident"
2328,12509,1,"women the perpetrator of unwanted behavior online was male (8, 1)","[[0, 1], [8, 0], [8, 1]]",women male 63.0,none,63% of women indicated that the perpetrator of unwanted behavior online was male
232_totto26529-0,0,1,"(11, 2)","[[11, 2]]",primera b nacional,none,"roman strada appeared for primera b nacional with guillermo brown in 2016-17, quilmes in 2017-18, and mitre in 2018"
233,1253,1,"(9, 1)","[[9, 1]]",12.9,none,immigrant women contributed 13% to the total increase in scientific workers at the university level
233,1253,1(1),"(10, 1)","[[10, 1]]",14.5,none,canadian-born women contributed 14% to the total increase in scientific workers at the university level
233,1254,1,"(6, 1)","[[6, 1]]",33.9,none,immigrant men contributed 34% to the total increase in scientific workers at the university level
233,1254,1(1),"(7, 1)","[[7, 1]]",38.7,none,canadian-born men contributed 39% to the total increase in scientific workers at the university level
2330,12519,1,"r2 15-and 60-second epoch data (4, 2) (5, 2)","[[0, 2], [2, 0], [3, 0], [4, 0], [5, 0], [4, 2], [5, 2]]",r2 moderate-to-vigorous physical activity light physical activity sedentary time total counts per day 0.83 0.87,argmax argmin,"nonetheless, 15- and 60-second epoch data are highly correlated"
2331,12520,1,"total physical activity a day (7, 1)","[[0, 1], [7, 0], [7, 1]]",total total physical activity 283.0,none,"on average, the total population accumulated 283 minutes of physical activity a day"
2331,12520,1(1),"total mvpa (6, 1)","[[0, 1], [6, 0], [6, 1]]",total moderate-to-vigorous physical activity 69.0,none,"of the 283 minutes the total population accumulated per day, 69 minutes were mvpa"
2331,12521,1,"the total three-to-4-year-olds average wore the accelerometer (3, 1)","[[0, 1], [1, 1], [3, 0], [3, 1]]",total estimate wear time 12.0,none,the total three-to-4-year-olds wore the accelerometer an average of 12 hours on valid days
2331,12522,1,"on average the total 3-to-4-year-olds sedentary (4, 1)","[[1, 1], [0, 1], [4, 0], [4, 1]]",estimate total sedentary time 436.0,none,"on average, the total 3-to-4-year-olds were sedentary 436 minutes a day"
2336,12536,1,"2015 to 2017 (8, 4) (12, 4)","[[0, 4], [8, 4], [12, 4]]",2015 to 2017 0.07 1.13,none,for the 2015 to 2017 reference period the mean absolute revision ranged from 0.07 percentage points to 1.13 percentage points
2336,12537,1,2015 new brunswick [ANSWER],"[[0, 1], [2, 0], [2, 0]]",2015.0 newfoundland and labrador newfoundland and labrador,argmax,"new brunswick was the province with the largest absolute mean revision at 0.43 percentage points, driven by revisions in 2015"
2338,12541,1,"women men 2015 top 1% (4, 1) (4, 2)","[[1, 1], [1, 2], [0, 1], [4, 0], [4, 1], [4, 2]]",women men 2015.0 top 1% 34982.0 137321.0,none,"in total, about 35,000 women and 137,000 men were included in the top 1% in 2015"
2338,12542,1,"women 2005 top 1% (4, 3) (4, 4)","[[1, 3], [0, 3], [4, 0], [4, 3], [4, 4]]",women 2005.0 top 1% 25598.0 134626.0,sum div,"over the last decade, the representation of women in top income groups increased, advancing from about one in six for the top 1% in 2005"
2338,12543,1,"2015 women men top 0.1% (3, 1) (3, 2)","[[0, 1], [1, 1], [1, 2], [3, 0], [3, 1], [3, 2]]",2015.0 women men top 0.1% 2231.0 15004.0,none,"in total, about 2,200 women and 15,000 men reached the top 0.1% in 2015"
2339,12545,1,"top 1% (6, 4) (4, 4) (5, 4)","[[1, 4], [6, 4], [4, 4], [5, 4]]",top 1% 39.2 4.1 22.9,sum,about two thirds of working women in the top 1% were between 25 and 54 in 2015
2339,12546,1,"top 1% (4, 4) (5, 4)","[[1, 4], [4, 4], [5, 4]]",top 1% 4.1 22.9,sum,27.0% of working women in the top 1% were between 25 and 44
2339,12548,1,"top 1% visible minority (10, 4)","[[1, 4], [10, 0], [10, 4]]",top 1% visible minority 13.8,none,about 1 in every 7 working women in the top 1% belonged to a visible minority group
233_totto26600-0,0,1,"european parliament 2009 (7, 2)","[[0, 1], [7, 0], [7, 2]]",european parliament 2009.0 0.317,none,"in the european parliament election of 2009, the psd captured 31.7% of the popular vote"
233_totto26648-3,0,1,"2017 (6, 2)","[[6, 1], [6, 2]]",2017.0 allsvenskan,none,"in 2017, beijmo appeared for allsvenskan side djurgardens if"
234,1256,1,women who worked in scientific occupations women who worked in non-scientific occupations [ANSWER] permanent position work full time hourly wages,"[[1, 1], [1, 2], [1, 1], [4, 0], [7, 0], [23, 0]]",scientific occupations non-scientific occupations scientific occupations permanent full-time hourly wage,pair-argmax,"among those in occupations normally requiring a university education, women who worked in scientific occupations were more likely than their counterparts in non-scientific occupations to have a permanent position (93% versus 87%), to work full time (97% versus 85%) and to have higher hourly wages"
234,1257,1,women in scientific occupations women who worked in non-scientific occupations [ANSWER] unionized,"[[1, 1], [1, 2], [1, 1], [10, 0]]",scientific occupations non-scientific occupations scientific occupations unionized,pair-argmin,"women in scientific occupations were less likely to be unionized, compared with women who worked in non-scientific occupations"
234,1257,1(1),men in scientific occupations men who worked in non-scientific occupations [ANSWER] unionized,"[[1, 3], [1, 4], [1, 3], [10, 0]]",scientific occupations non-scientific occupations scientific occupations unionized,pair-argmin,"men in scientific occupations were less likely to be unionized, compared with men who worked in non-scientific occupations"
2340,12549,1,top 1% bottom 90% [ANSWER] married or in a common-law relationship,"[[1, 4], [1, 1], [1, 4], [10, 0]]",top 1% bottom 90% top 1% married spouse or common-law partner,pair-argmax,"compared to those in the bottom 90%, workers in the top 1% are generally more likely to be married or in a common-law relationship"
2340,12550,1,"married or in a common-law relationship (10, 4) (10, 8)","[[10, 0], [10, 4], [10, 8]]",married spouse or common-law partner 77.3 88.4,none,"in top 1%,77.3% of women were married or in a common-law relationship, compared with 88.4% of their male counterparts"
2340,12551,1,"women in bottom 90% men in bottom 90% married or in a common-law relationship (10, 1) (10, 5)","[[1, 1], [1, 5], [10, 0], [10, 1], [10, 5]]",bottom 90% bottom 90% married spouse or common-law partner 59.5 59.9,none,"the share of working women and men in the bottom 90% who were married or in a common-law relationship was similar, at about 60%"
2340,12552,1,"women in top 1% men in top 1% lone parent (11, 8) (11, 4)","[[1, 4], [1, 8], [11, 0], [11, 8], [11, 4]]",top 1% top 1% lone parent 2.6 8.0,div,working women in the top 1% were about three times more likely than their male counterparts to be lone parents
2340,12553,1,men in the bottom 90% women in the bottom 90% [ANSWER] living alone or with non-family members,"[[1, 5], [1, 1], [0, 5], [13, 0]]",bottom 90% bottom 90% men person not in a census family,pair-argmax,working men in the bottom 90% were more likely than their female counterparts to be living alone or with non-family members
2340,12554,1,"women in the top 1% men in the top 1% living alone or with non-family members (13, 4) (13, 8)","[[1, 4], [1, 8], [13, 0], [13, 4], [13, 8]]",top 1% top 1% person not in a census family 13.9 8.6,none,"13.9% of working women in the top 1% were either living alone or with non-family members, compared with 8.6% of their male counterparts"
2340,12555,1,women in the top 1% men in the top 1% [ANSWER] have one children,"[[1, 4], [1, 8], [0, 1], [16, 0]]",top 1% top 1% women one child,pair-argmax,working women in the top 1% were somewhat more likely than their male counterparts to have one children
2340,12556,1,women in the bottom 90% men in the bottom 90% [ANSWER] have one children,"[[1, 1], [1, 5], [0, 1], [16, 0]]",bottom 90% bottom 90% women one child,pair-argmax,working women in the bottom 90% were more likely to have one children than their male counterparts
2340,12557,1,"women in the top 1% men in the top 1% not have children (15, 4) (15, 8)","[[1, 4], [1, 8], [15, 0], [15, 4], [15, 8]]",top 1% top 1% no child 41.6 37.6,none,"among workers in the top 1%, 41.6% of women did not have children, compared with 37.6% of men"
2340,12559,1,women in the top 1% men in the top 1% [ANSWER] had fewer children,"[[1, 4], [1, 8], [0, 1], [16, 0]]",top 1% top 1% women one child,pair-argmin,"when working women in the top 1% did have children, they had fewer children than their male counterparts"
2340,12560,1,"women in the top 1% men in the top 1% have one child (16, 4) (16, 8)","[[1, 4], [1, 8], [16, 0], [16, 4], [16, 8]]",top 1% top 1% one child 19.6 17.3,none,"working women in the top 1% were slightly more likely to only have one child, accounting for 19.6%, compared with 17.3% of their male counterparts"
2340,12561,1,"men in the top 1% women in the top 1% (18, 8) (19, 8) (17, 8) (17, 4) (18, 4) (19, 4)","[[1, 8], [1, 4], [18, 8], [19, 8], [17, 8], [17, 4], [18, 4], [19, 4]]",top 1% top 1% 12.2 3.2 29.8 28.3 8.3 2.2,sum,"45.2% of working men in the top 1% had two or more children, compared with 38.8% of their female counterparts"
2340,12562,1,"men in top 1% women in top 1% (18, 8) (19, 8) (18, 4) (19, 4)","[[1, 8], [1, 4], [18, 8], [19, 8], [18, 4], [19, 4]]",top 1% top 1% 12.2 3.2 8.3 2.2,sum,"15.4% of men in top 1% had three or more children, compared with 10.5% of women"
2341,12564,1,"women in the top 1% men in the top 1% toronto (18, 4) (18, 8)","[[1, 4], [1, 8], [18, 0], [18, 4], [18, 8]]",top 1% top 1% toronto 31.5 26.9,none,"almost one in three working women in the top 1% lived in toronto, accounting for 31.5% of women and 26.9% of their male counterparts"
2341,12565,1,"women in the bottom 90% toronto (18, 1)","[[1, 1], [18, 0], [18, 1]]",bottom 90% toronto 16.9,none,about one in six women in the bottom 90% lived in toronto
2341,12566,1,women in the top 1% men in the top 1% [ANSWER] calgary edmonton,"[[1, 4], [1, 8], [0, 1], [19, 0], [20, 0]]",top 1% top 1% women calgary edmonton,argmin,working women in the top 1% were slightly less likely than their male counterparts to live in calgary or edmonton
2342,12567,1,"women in the top 1% (9, 4) (13, 4) (11, 4) (12, 4) (10, 4)","[[1, 4], [9, 4], [13, 4], [11, 4], [12, 4], [10, 4]]",top 1% 32.9 3.5 14.7 18.5 4.6,sum,about three quarters of working women in the top 1% obtained a bachelor's degree or higher in 2015
2342,12568,1,"men in the top 1% (12, 8) (13, 8) (10, 8) (11, 8) (9, 8)","[[1, 8], [12, 8], [13, 8], [10, 8], [11, 8], [9, 8]]",top 1% 17.5 3.5 4.9 8.8 35.3,sum,"74.2% of women obtained a bachelor's degree or more, compared with 70.0% of their male counterparts"
2342,12569,1,women in the top 1% men in the top 1% [ANSWER] a university certificate or diploma above the bachelor's level,"[[1, 4], [1, 8], [0, 1], [10, 0]]",top 1% top 1% women university certificate or diploma above bachelor's level,pair-argmax,working women in the top 1% were more likely than their male counterparts to have obtained a university certificate or diploma above the bachelor's level
2342,12571,1,"women in the top 1% men in the top 1% [ANSWER] architecture, engineering, and related technologies,","[[1, 4], [1, 8], [0, 1], [22, 0]]","top 1% top 1% women architecture, engineering, and related technologies",pair-argmin,"working women in the top 1% were four times less likely than their male counterparts to have studied in architecture, engineering, and related technologies, accounting for 4.0% of women"
2342,12572,1,"women in the top1% men in the top1% physical and life sciences and technology (20, 4) (20, 8)","[[1, 4], [1, 8], [20, 0], [20, 4], [20, 8]]",top 1% top 1% physical and life sciences and technologies 5.7 5.8,none,representation in physical and life sciences and technology was comparable among workers in the top 1%
2342,12573,1,"women in the top1% men in the top1% mathematics, computer science and information sciences (21, 4) (21, 8)","[[1, 4], [1, 8], [21, 0], [21, 4], [21, 8]]","top 1% top 1% mathematics, computer and information sciences 2.2 3.2",none,"2.2% of working women in the top 1% studied mathematics, computer science and information sciences, compared to 3.2% of men"
2342,12577,1,women in the top 1% men in the top 1% [ANSWER] social and behavioural sciences and law,"[[1, 4], [1, 8], [0, 1], [18, 0]]",top 1% top 1% women social and behavioural sciences and law,pair-argmax,"working women in the top 1% were also more likely to have studied social and behavioural sciences and law, representing 22.2% of women and 18.0% of men"
2342,12578,1,"women in the top 1% men in the top 1% business, management and public administration (19, 4) (19, 8)","[[1, 4], [1, 8], [19, 0], [19, 4], [19, 8]]","top 1% top 1% business, management and public administration 28.5 35.8",none,"over one third of working men in the top 1% studied business, management and public administration, the main field of study for the top 1%, accounting for 35.8% of men and 28.5% of women"
2345,12593,1,"women in the top 1% men in the top 1% living alone or with non-family members (7, 4) (7, 8)","[[1, 4], [1, 8], [7, 0], [7, 4], [7, 8]]",top 1% top 1% person not in a census family 45.8 46.4,none,"among workers in the top 1% who were living alone or with non-family members, average hours worked were similar, reaching about 46 hours"
2345,12594,1,"women in the top 1% married or in a common-law relationship (4, 4)","[[1, 4], [4, 0], [4, 4]]",top 1% married spouse or common-law 42.3,none,"among the top 1% who were married or in a common-law relationship, women worked an average of 42 hours, about 5 hours less than their male counterparts"
2345,12595,1,"women in the top 1% (10, 4) (11, 4)","[[1, 4], [10, 4], [11, 4]]",top 1% 41.6 42.6,sum div,"specifically, working women in the top 1% who had one or two children worked an average of 42 hours, about 5 hours less than men in the same income bracket"
2348,12604,1,"median amount in 2016 senior families with debt (3, 2)","[[1, 2], [3, 0], [3, 2]]",2016.0 senior families with debt 25000.0,none,"in 2016, the median amount of debt held by senior families with debt was $25,000"
2348,12605,1,"2016 these families (3, 5)","[[1, 5], [3, 0], [3, 5]]",2016.0 senior families with debt 607400.0,none,"the median level of assets held by these families also rose, from $327,000 to $607,400"
2349,12606,1,"average debt average assets (3, 1) (3, 4)","[[1, 1], [1, 4], [3, 1], [3, 4]]","change, 1999 to 2016 change, 1999 to 2016 50000.0 500900.0",none,"between 1999 and 2016, average debt increased by $50,000 and average assets rose by $500,900"
2350,12608,1,"2016 senior families with debt (2, 2)","[[0, 2], [2, 0], [2, 2]]",2016.0 senior families with debt 537400.0,none,"in 2016, the median net worth of senior families with debt was $537,400"
2350,12609,1,increases fourth income quintile fifth income quintile [ANSWER],"[[0, 3], [37, 0], [38, 0], [37, 0], [38, 0]]",change fourth quintile top quintile fourth quintile top quintile,argmax,"the largest increases took place among those in the fourth and fifth income quintiles (increases of $446,000 and $661,700, respectively);"
2351,12642,1,"violent crime (3, 3)","[[3, 0], [3, 3]]",total violent crime 12.2,none,over one in ten incidents of violent crime (12%) were classified as unfounded
